Oracle Result,,,,,,,,TIDB Result,,,,,
TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE,,,TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE
2865990,970443,970443,970443,,,,,2865990,970443,970443,970443,,
2866967,970443,970443,970443,,,,,2866967,970443,970443,970443,,
2869173,970443,970443,970443,,,,,2869173,970443,970443,970443,,
2871057,970412,970412,980478,G2_2022,,,,2871057,970412,970412,980478,G2_2022,
2871890,970443,970443,970443,,,,,2871890,970443,970443,970443,,
2873383,970443,970443,970443,,,,,2873383,970443,970443,970443,,
2881770,970443,970443,970443,,,,,2881770,970443,970443,970443,,
2885911,970443,970443,970443,,,,,2885911,970443,970443,970443,,
2887209,970443,970443,970443,,,,,2887209,970443,970443,970443,,
2887273,970443,970443,970443,,,,,2887273,970443,970443,970443,,
2896147,970443,970443,970443,,,,,2896147,970443,970443,970443,,
2899603,970443,970443,970443,,,,,2899603,970443,970443,970443,,
2905189,970443,970443,970443,,,,,2905189,970443,970443,970443,,
2910060,970443,970443,970443,,,,,2910060,970443,970443,970443,,
2912236,970443,970443,970443,,,,,2912236,970443,970443,970443,,
2916034,970425,970425,980478,,,,,2916034,970425,970425,980478,,
2916035,970425,970425,980478,,,,,2916035,970425,970425,980478,,
2916036,970425,970425,980478,,,,,2916036,970425,970425,980478,,
2917945,970443,970443,970443,,,,,2917945,970443,970443,970443,,
2918232,970443,970443,970443,,,,,2918232,970443,970443,970443,,
2918991,970443,970443,970443,,,,,2918991,970443,970443,970443,,
2921415,970443,970443,970443,,,,,2921415,970443,970443,970443,,
2922832,970443,970443,970443,,,,,2922832,970443,970443,970443,,
2924098,970443,970443,970443,,,,,2924098,970443,970443,970443,,
2928814,970443,970443,970443,,,,,2928814,970443,970443,970443,,
2929623,970443,970443,970443,,,,,2929623,970443,970443,970443,,
2930059,970443,970443,970443,,,,,2930059,970443,970443,970443,,
2930064,970443,970443,970443,,,,,2930064,970443,970443,970443,,
2931160,970443,970443,970443,,,,,2931160,970443,970443,970443,,
2934410,970443,970443,970443,,,,,2934410,970443,970443,970443,,
2936308,970443,970443,970443,,,,,2936308,970443,970443,970443,,
2937529,970443,970443,970443,,,,,2937529,970443,970443,970443,,
2939847,970443,970443,970443,,,,,2939847,970443,970443,970443,,
2940134,970443,970443,970443,,,,,2940134,970443,970443,970443,,
2941645,970423,970423,980478,G2_2022,,,,2941645,970423,970423,980478,G2_2022,
2942972,970443,970443,970443,,,,,2942972,970443,970443,970443,,
2943621,970443,970443,970443,,,,,2943621,970443,970443,970443,,
2948830,970443,970443,970443,,,,,2948830,970443,970443,970443,,
2953804,970448,970448,970448,,,,,2953804,970448,970448,970448,,
2954124,970443,970443,970443,,,,,2954124,970443,970443,970443,,
2955029,970443,970443,970443,,,,,2955029,970443,970443,970443,,
2956906,970443,970443,970443,,,,,2956906,970443,970443,970443,,
2957100,970443,970443,970443,,,,,2957100,970443,970443,970443,,
2959615,970443,970443,970443,,,,,2959615,970443,970443,970443,,
2960123,970443,970443,970443,,,,,2960123,970443,970443,970443,,
2961272,970412,970412,980478,G2_2022,,,,2961272,970412,970412,980478,G2_2022,
2966391,970443,970443,970443,,,,,2966391,970443,970443,970443,,
2969451,970443,970443,970443,,,,,2969451,970443,970443,970443,,
2971240,970443,970443,970443,,,,,2971240,970443,970443,970443,,
2973620,970443,970443,970443,,,,,2973620,970443,970443,970443,,
2976127,970443,970443,970443,,,,,2976127,970443,970443,970443,,
